"","sampleID","rank","compound","drugPotential","lowCI","highCI","P","FDR","compound_avgRank"
"1","CID44041_Cancer_TN",1,"GW.843682X",-0.0988808527298921,-0.16412719631128,-0.0327730829828403,0.00259285230777599,0.0807038795252374,36.48
"2","CID44041_Cancer_TN",2,"XMD.885",-0.0967540064173532,-0.162036914791586,-0.0306278478132734,0.00320677666987698,0.0807038795252374,22
"3","CID44041_Cancer_TN",3,"tivantinib",-0.0823734395901796,-0.147888189685404,-0.0161389130680265,0.0121581405670602,0.110153019043183,42.24
"4","CID44041_Cancer_TN",4,"CP466722",-0.0818793665179962,-0.147401605030392,-0.0156416105702314,0.0126872344783827,0.110153019043183,21.2
"5","CID44041_Cancer_TN",5,"PF.431396",-0.0814789789719285,-0.147007262690598,-0.0152386299956051,0.0131308234621013,0.110153019043183,41.44
"6","CID44041_Cancer_TN",6,"PD.173074",-0.0764215037764507,-0.142024353242451,-0.0101502530385411,0.0200299665887042,0.151226247744717,43.36
"7","CID44041_Cancer_TN",7,"XMD.1150",-0.0741010453832613,-0.139736993677885,-0.00781676441165249,0.024135327757643,0.173544499590671,23.24
"8","CID44041_Cancer_TN",8,"nilotinib",-0.072929836624057,-0.138582224875496,-0.00663925295473699,0.0264710042939165,0.173787897755712,49.08
"9","CID44041_Cancer_TN",9,"XMD.892",-0.0714858843460408,-0.137158295220099,-0.00518778324038251,0.0296167631139944,0.179155345829956,36.84
"10","CID44041_Cancer_TN",10,"PD.0325901",-0.071466328180842,-0.137139008368211,-0.00516812717996318,0.0296614810976749,0.179155345829956,46.52
"11","CID44041_Cancer_TN",11,"pazopanib",-0.0689511169393298,-0.134658019672699,-0.00264049489101968,0.035917282164941,0.193696771675217,52.92
"12","CID44041_Cancer_TN",12,"XMD.1185H",-0.0674195324342837,-0.133146870590103,-0.00110176180692507,0.040251749007382,0.202600470003823,36.04
"13","CID44041_Cancer_TN",13,"TNF_lig",-0.0657316565352927,-0.131481161408986,0.000593628483456219,0.0455335586151495,0.206031269319004,12.68
"14","CID44041_Cancer_TN",14,"XMD.1499",-0.0619993457828524,-0.127796548094366,0.00434120217841839,0.0593055145599021,0.248753686070701,33.4
"15","CID44041_Cancer_TN",15,"rondual.kinase.inhibitor",-0.0599334197963693,-0.125756242611844,0.00641477568581804,0.0683088009570965,0.263443124330112,62.56
"16","CID44041_Cancer_TN",16,"celastrol",-0.0593121261709271,-0.125142545008571,0.00703825760071302,0.0712261035413864,0.263443124330112,13.72
"17","CID44041_Cancer_TN",17,"masitinib",-0.0584783292697043,-0.12431886304894,0.00787491019601406,0.0753006578045707,0.263443124330112,87.36
"18","CID44041_Cancer_TN",18,"PF.04217903",-0.0580380737454339,-0.123883911735602,0.00831663609098721,0.077527548979937,0.263443124330112,69.08
"19","CID44041_Cancer_TN",19,"GDC.0879",-0.0578471971098383,-0.12369532692372,0.00850814217132265,0.0785095403632784,0.263443124330112,67.04
"20","CID44041_Cancer_TN",20,"JWE.035",-0.0558046810923606,-0.121677037241049,0.0105570890238121,0.0896627879639948,0.288065552820494,43.24
"21","CID44041_Cancer_TN",21,"GSK.3.inhibitor.IX",-0.0550372300684351,-0.120918548158118,0.0113268123556162,0.0941692969423955,0.292805490577983,55.88
"22","CID44041_Cancer_TN",22,"BMS.509744",-0.0540493341145072,-0.119942075138792,0.0123175175562276,0.100235159588873,0.292805490577983,37.6
"23","CID44041_Cancer_TN",23,"dovitinib",-0.0537731448406601,-0.119669056605841,0.0125944689162896,0.101985515045995,0.292805490577983,54.12
"24","CID44041_Cancer_TN",24,"SU.11274",-0.052090324531772,-0.118005340221235,0.0142817126070707,0.113180994144065,0.310733274831887,68.92
"25","CID44041_Cancer_TN",25,"NVP.AEW541",-0.051083106459254,-0.117009379357834,0.0152913974221725,0.120330902927874,0.324463684680516,82.08
"26","CID44041_Cancer_TN",26,"sunitinib",-0.0506203779692567,-0.116551778111168,0.0157552137897473,0.123731826350239,0.327780803138352,64.24
"27","CID44041_Cancer_TN",27,"XMD.16144",-0.050254221268765,-0.116189658754509,0.016122211083076,0.126475685245336,0.329272904690443,45.76
"28","CID44041_Cancer_TN",28,"SGX523",-0.0498987343152829,-0.115838074726331,0.0164784970248862,0.129184614833351,0.330625031183661,65.76
"29","CID44041_Cancer_TN",29,"PHA.665752",-0.0486901814415451,-0.114642667081011,0.0176896401743215,0.138731551869128,0.349141072203973,65.4
"30","CID44041_Cancer_TN",30,"BI.2536",-0.0474099327040492,-0.113376135026598,0.0189724204083817,0.149427111570276,0.358150695985899,47.76
"31","CID44041_Cancer_TN",31,"XMD.1527",-0.0466368596604529,-0.11261124091744,0.0197469162720102,0.156183202832455,0.368494744182824,83.76
"32","CID44041_Cancer_TN",32,"FR.180204",-0.0455461273925032,-0.111531915345196,0.0208395205175436,0.166105507821147,0.380029267893835,62.56
"33","CID44041_Cancer_TN",33,"HG.5.113.01",-0.04463218648506,-0.1106274123913,0.0217549078998014,0.17477795560935,0.393902556671818,43.76
"34","CID44041_Cancer_TN",34,"linsitinib",-0.0437030570567322,-0.109707765686489,0.0226853937567039,0.183935939557368,0.403696352704007,67.96
"35","CID44041_Cancer_TN",35,"GSK.461364",-0.0436498896771577,-0.109655137516294,0.0227386352760009,0.184470518785275,0.403696352704007,45.8
"36","CID44041_Cancer_TN",36,"ZG.10",-0.0433735190488809,-0.109381563803295,0.0230153852255556,0.187267833283985,0.403963468941168,66.32
"37","CID44041_Cancer_TN",37,"JW.7.24.1",-0.0429908438873674,-0.109002744865797,0.0233985688148494,0.191192572239702,0.406620822650634,29.48
"38","CID44041_Cancer_TN",38,"QL.XII.47",-0.0417996406872372,-0.107823422691185,0.0245912298111447,0.203795976530323,0.424909969862453,6.6
